Timestamp,Alert_ID,Severity,Attack_Type,Anomaly_Score,RF_Probability,RF_Prediction,Source_IP,Dest_IP,Dest_Port,Flow_Index
2026-04-12 10:41:12,ALERT-00612,CRITICAL,Suspicious Activity,0.5828,1.0,Attack,192.168.1.228.240,172.16.181.233,8080,1388
2026-04-12 11:06:07,ALERT-01221,CRITICAL,Port Scan,0.616,1.0,Attack,198.23.181.234,10.10.41.187,23,2846
2026-04-12 10:52:14,ALERT-01224,CRITICAL,Port Scan,0.6734,1.0,Attack,172.16.2.12,192.168.2.200.66,80,2849
2026-04-12 10:56:31,ALERT-00618,CRITICAL,Suspicious Activity,0.5047,0.9839,Attack,23.151.44.163,192.168.1.180.144,3389,1404
2026-04-12 11:01:32,ALERT-00620,CRITICAL,Port Scan,0.3888,1.0,Attack,10.0.70.26,10.0.41.49,8080,1411
2026-04-12 11:18:22,ALERT-01200,CRITICAL,Port Scan,0.5239,1.0,Attack,218.128.126.188,192.168.1.231.196,445,2799
2026-04-12 10:54:25,ALERT-01202,CRITICAL,Port Scan,0.5337,1.0,Attack,218.212.120.144,10.10.35.162,8443,2802
2026-04-12 10:42:32,ALERT-01204,CRITICAL,Suspicious Activity,0.5317,1.0,Attack,15.179.116.223,10.10.14.79,8443,2806
2026-04-12 11:21:47,ALERT-01207,CRITICAL,Port Scan,0.6427,1.0,Attack,10.0.222.132,10.10.37.33,8443,2815
2026-04-12 10:55:34,ALERT-01209,CRITICAL,Port Scan,0.643,1.0,Attack,13.193.117.201,172.16.40.6,445,2818
2026-04-12 11:18:13,ALERT-00604,CRITICAL,Port Scan,0.4974,1.0,Attack,172.16.236.136,192.168.1.79.234,8080,1371
2026-04-12 11:12:17,ALERT-00607,CRITICAL,Port Scan,0.6957,1.0,Attack,172.16.216.190,10.10.90.155,21,1377
2026-04-12 10:29:12,ALERT-00610,CRITICAL,Suspicious Activity,0.5022,1.0,Attack,104.42.112.61,10.0.34.132,80,1381
2026-04-12 10:44:31,ALERT-00611,CRITICAL,Suspicious Activity,0.6979,1.0,Attack,10.0.34.114,192.168.2.62.73,23,1387
2026-04-12 10:29:08,ALERT-01220,CRITICAL,Port Scan,0.7509,1.0,Attack,52.69.67.169,192.168.2.189.187,443,2842
2026-04-12 11:15:58,ALERT-00613,CRITICAL,Suspicious Activity,0.4299,0.9919,Attack,192.168.2.141.75,10.10.72.203,445,1389
2026-04-12 10:43:32,ALERT-00616,CRITICAL,Port Scan,0.6222,1.0,Attack,10.0.177.76,10.0.4.121,8080,1395
2026-04-12 10:53:37,ALERT-00683,CRITICAL,Port Scan,0.8541,1.0,Attack,52.93.89.41,192.168.2.82.72,8443,1536
2026-04-12 10:48:42,ALERT-01166,CRITICAL,Port Scan,0.6914,1.0,Attack,74.247.88.3,192.168.1.168.249,80,2693
2026-04-12 11:21:56,ALERT-01171,CRITICAL,Suspicious Activity,0.7085,1.0,Attack,199.11.27.106,172.16.200.154,22,2710
2026-04-12 10:34:22,ALERT-01172,CRITICAL,Port Scan,0.59,1.0,Attack,52.13.129.107,172.16.79.142,443,2711
2026-04-12 10:25:06,ALERT-01173,CRITICAL,Suspicious Activity,0.3786,1.0,Attack,192.168.2.172.99,10.10.21.74,8443,2714
2026-04-12 11:17:23,ALERT-01174,CRITICAL,Port Scan,0.5748,1.0,Attack,66.8.124.190,10.10.97.160,445,2715
2026-04-12 11:10:56,ALERT-00667,CRITICAL,Port Scan,0.5792,1.0,Attack,10.0.120.1,10.0.159.179,23,1510
2026-04-12 11:16:32,ALERT-00668,CRITICAL,Suspicious Activity,0.4745,0.97,Attack,192.168.1.150.206,10.0.59.77,80,1511
2026-04-12 10:48:31,ALERT-00669,CRITICAL,Port Scan,0.4933,1.0,Attack,67.225.113.57,10.0.84.166,443,1512
2026-04-12 10:56:24,ALERT-00670,CRITICAL,Unknown / Novel Attack,0.7578,1.0,Attack,54.41.29.62,192.168.2.117.219,445,1513
2026-04-12 10:27:46,ALERT-00672,CRITICAL,Port Scan,0.8236,1.0,Attack,66.158.109.131,172.16.180.153,443,1519
2026-04-12 10:39:35,ALERT-00588,CRITICAL,Port Scan,0.5382,1.0,Attack,52.38.40.193,192.168.1.206.69,8443,1334
2026-04-12 10:24:01,ALERT-01231,CRITICAL,Port Scan,0.5509,1.0,Attack,11.37.198.46,10.10.191.52,22,2862
2026-04-12 10:48:39,ALERT-01234,CRITICAL,Suspicious Activity,0.3678,1.0,Attack,10.10.4.130,10.10.22.74,23,2867
2026-04-12 10:56:47,ALERT-01237,CRITICAL,Port Scan,0.7743,1.0,Attack,216.170.66.18,192.168.2.244.9,21,2872
2026-04-12 11:18:46,ALERT-01238,CRITICAL,Port Scan,0.6156,1.0,Attack,218.71.75.219,10.10.61.22,8080,2873
2026-04-12 11:00:12,ALERT-01241,CRITICAL,Suspicious Activity,0.5843,1.0,Attack,218.237.176.182,172.16.194.127,445,2876
2026-04-12 10:44:40,ALERT-01242,CRITICAL,Suspicious Activity,0.5642,0.992,Attack,23.178.8.135,192.168.2.164.68,445,2877
2026-04-12 11:07:47,ALERT-01244,CRITICAL,Suspicious Activity,0.4988,1.0,Attack,218.153.155.190,10.10.46.87,443,2881
2026-04-12 11:15:06,ALERT-00576,CRITICAL,Port Scan,0.5471,1.0,Attack,54.24.210.165,10.0.199.154,445,1314
2026-04-12 10:59:05,ALERT-00577,CRITICAL,Suspicious Activity,0.4397,0.9984,Attack,54.50.38.214,10.10.128.69,23,1316
2026-04-12 10:55:05,ALERT-00579,CRITICAL,Port Scan,0.6403,1.0,Attack,172.16.37.186,10.0.114.81,21,1318
2026-04-12 10:38:11,ALERT-00581,CRITICAL,Suspicious Activity,0.5792,1.0,Attack,14.155.197.68,10.10.57.57,22,1322
2026-04-12 10:50:26,ALERT-00582,CRITICAL,Port Scan,0.5655,0.9964,Attack,104.208.194.137,10.10.236.52,443,1325
2026-04-12 10:46:37,ALERT-00583,CRITICAL,Port Scan,0.7937,1.0,Attack,203.234.99.222,10.0.232.46,8080,1326
2026-04-12 10:58:35,ALERT-00676,CRITICAL,Port Scan,0.8581,1.0,Attack,192.168.1.12.194,192.168.1.201.159,80,1524
2026-04-12 11:10:50,ALERT-01225,CRITICAL,Suspicious Activity,0.4142,1.0,Attack,10.10.176.192,10.0.118.251,8080,2850
2026-04-12 11:00:25,ALERT-00621,CRITICAL,Port Scan,0.5769,1.0,Attack,15.107.9.23,10.0.110.118,80,1413
2026-04-12 10:49:58,ALERT-00623,CRITICAL,Suspicious Activity,0.4508,0.9978,Attack,209.122.33.7,10.0.239.121,23,1415
2026-04-12 10:24:44,ALERT-00624,CRITICAL,Port Scan,0.5104,1.0,Attack,20.21.183.85,10.0.234.16,22,1416
2026-04-12 11:10:22,ALERT-00625,CRITICAL,Port Scan,0.526,1.0,Attack,23.18.29.237,192.168.2.238.135,443,1417
2026-04-12 10:37:46,ALERT-00629,CRITICAL,Suspicious Activity,0.595,0.99,Attack,10.0.239.123,10.10.176.7,21,1430
2026-04-12 11:05:08,ALERT-00631,CRITICAL,Suspicious Activity,0.3956,0.9988,Attack,17.86.189.208,10.10.40.49,21,1432
2026-04-12 10:46:46,ALERT-00632,CRITICAL,Suspicious Activity,0.5144,0.9954,Attack,66.211.202.35,172.16.224.196,23,1433
2026-04-12 10:32:19,ALERT-01210,CRITICAL,Port Scan,0.941,1.0,Attack,192.168.2.80.53,10.0.1.21,443,2821
2026-04-12 10:28:01,ALERT-01214,CRITICAL,Unknown / Novel Attack,0.7885,1.0,Attack,192.168.1.134.176,192.168.1.105.199,23,2833
