Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Mean,Fwd PSH Flags,SYN Flag Count,RST Flag Count,FIN Flag Count,ACK Flag Count,Active Mean,Idle Mean,init_win_bytes_forward,init_win_bytes_backward,Destination Port,Protocol,Label,attack_category,label_binary,label_multiclass
59374.119510185796,2,5,5589.097362129438,2868.1290430137024,8159.874306427324,20.338673846757107,657.9976865110543,2493.0604237785,1943.8478131273753,2182.2693065640715,0,0,0,1,1,21669.04711342694,9884.18742743791,7364,5198,18132,17,BENIGN,Normal,0,3
49868.7590486511,7,7,5978.624241822291,2178.020239398579,8197.957705829685,9.323553244807407,2554.075945100395,1390.8926751942108,2384.0501956811104,1174.121088931748,0,1,0,1,3,39651.746901136285,13114.907131588574,8436,4312,15068,6,BENIGN,Normal,0,3
47548.35652213231,12,6,4367.351309256307,4167.125704681871,5338.5177477810485,26.32121872013941,5245.213427619387,2199.854792956858,3294.232788521385,7111.813991010701,0,0,0,1,4,30585.402447545704,8390.49000755182,9646,4547,13247,6,BENIGN,Normal,0,3
52368.61867279812,14,7,8538.412716476838,2419.2682601246615,1888.3418236432117,23.82059366497698,5343.413656740888,545.3093285139685,1510.086430889568,3403.990699150169,1,0,0,0,3,37625.87463974766,16146.465784759956,9250,5118,21482,6,BENIGN,Normal,0,3
1331.157114892504,156,0,51671.96199869962,328.06410702777197,943843.3914108013,471.3946890076406,72.1127118149916,24.075287642436773,48.5608094099286,60.15205938720806,0,2,0,1,1,562.4516775348437,232.37081070770165,8766,3167,57992,17,DoS GoldenEye,DoS,1,2
416.5087246358095,132,0,49435.231835247425,2552.3191183779063,908009.4274502074,147.57880458512216,78.30088852235068,34.85480462668571,58.06077597615159,70.9728949903312,1,3,0,1,4,686.1937687301603,155.6098548375844,7327,4724,60352,6,DoS GoldenEye,DoS,1,2
49843.02808534307,3,1,7098.267293982124,3420.8263129577554,2365.226940945871,16.80854106039075,1670.3021427633291,357.28312662379153,1532.104919779778,3464.7985308220564,1,0,0,1,3,27513.208110391737,22694.925245256232,4140,2998,14521,6,BENIGN,Normal,0,3
9555.259246255737,20,1,9792.914246507922,4574.8450270253325,24204.430097190118,20.06999189952392,2748.4096898299076,891.6453901176118,1624.6466591421472,2073.7414236607183,1,1,0,1,3,6482.773524140922,1750.7944513667665,8590,2453,4409,17,Web Attack  Brute Force,Unknown,1,5
71300.41876680657,10,10,5141.185438514792,2641.4620694524883,5297.497903464329,28.513593544355118,4940.7409556157445,1121.7443787567393,3952.6657603109907,2946.3686050791075,0,0,0,0,4,42725.86578320633,22022.248287669467,7401,4015,43841,17,BENIGN,Normal,0,3
55098.40605382284,7,9,9164.996028372287,2664.6114517068672,11352.599132069521,14.768081417509315,3510.436544527531,403.5288332191228,1992.4270453583042,4065.2274197289958,0,0,0,1,4,21913.69710845499,11467.967946018314,7980,4596,3932,6,BENIGN,Normal,0,3
815.7851483311671,38,0,51432.26316359571,4003.1536292730098,1454851.2649569334,825.7116260636877,75.3131894954405,4.794134065118367,38.54841754469917,92.22861304842014,1,3,0,1,2,315.1479492707612,296.35099930164415,7054,3573,11734,6,DoS GoldenEye,DoS,1,2
19451.962541319725,20,9,3520.3277216847137,996.7529318508532,6296.601978458437,24.438025280365935,2235.709340893235,1423.691045300091,3203.2852379271144,4481.151083952037,0,0,0,2,4,35816.620818563584,14943.303898949256,4072,2902,3100,6,BENIGN,Normal,0,3
75715.70480534903,17,4,5600.843186072701,1187.760863630498,8533.171433076383,18.28960319058201,1122.90993491199,1955.8592528057807,3040.8841958775556,2380.363896584626,1,0,0,2,3,24765.407438393573,11051.783526750198,7697,2971,64872,17,BENIGN,Normal,0,3
70518.61176081456,7,9,5025.8848094572095,3258.894104776869,4700.1109718949065,27.844745515167883,3499.367524998863,1808.5930258644953,3337.8661485043544,4888.837095260142,1,1,0,0,2,40316.90221875107,14267.101529385174,10354,3914,64759,6,BENIGN,Normal,0,3
69232.51822919538,12,10,4654.214739790435,1238.7601656323225,5970.2775908998565,11.195959837560748,2927.6225677153925,2441.078290524885,2730.3405790981387,3998.5790136213473,0,0,0,0,5,25361.821813165,3929.80471502177,8088,3126,42543,6,BENIGN,Normal,0,3
62903.314404203265,12,8,6719.712895296358,4207.11256133673,5491.7136534245155,12.648183493985194,3799.1740662870343,1841.1176177491504,3479.1976991451666,4894.0760451501255,0,1,0,1,4,48868.337096705174,3506.3465121529725,10193,4970,51574,6,BENIGN,Normal,0,3
46612.368339903034,12,4,3203.014348614768,2445.855672192095,4940.670011704969,13.535725991618435,3166.566541495681,2502.153860155232,1879.4915051958235,1437.5769421933833,0,0,0,1,1,27306.866756525164,18438.414673472493,8795,4365,62475,0,BENIGN,Normal,0,3
52650.4919998327,10,8,8187.7781602252735,3722.27102084639,4760.57781098437,12.072407407374737,3269.291608827872,486.27977139260304,2595.137838385795,3557.2253262036825,1,0,0,0,2,32012.83558505989,12981.78776643136,5741,3750,56239,17,BENIGN,Normal,0,3
52584.45077661485,16,11,6444.640378858142,5646.965239628739,3327.041492935905,11.178097120389847,631.6157165487443,1181.6649073403298,4482.910120599441,2591.6420009907947,1,0,1,1,4,38952.554946634875,4655.189662549192,6842,5316,34121,6,BENIGN,Normal,0,3
